first_name,last_name,department,job_title
Luke,Skywalker,Jedi Order,Jedi Knight
ObiWan,Kenobi,Jedi Order,Jedi Master
Yoda,Grandmaster,Jedi Order,Grand Master
Mace,Windu,Jedi Order,Master of the Order
Anakin,Skywalker,Sith Empire,Sith Apprentice
Darth,Vader,Sith Empire,Sith Lord
Darth,Maul,Sith Empire,Sith Assassin
Leia,Organa,Rebel Alliance,General
Han,Solo,Rebel Alliance,Captain
Poe,Dameron,Rebel Alliance,Commander
Mon,Mothma,Galactic Senate,Senator
Padme,Amidala,Galactic Senate,Senator
Bail,Organa,Galactic Senate,Chancellor
